census_tract,block_group,total_pop,pct_white,pct_black,stat_nb
2717,5,1340,0.018,0.956,Central Park Heights
2717,6,543,0.007,0.974,Central Park Heights
2718.01,1,783,0.005,0.968,Arlington
2718.01,2,1046,0.014,0.959,Arlington
2718.01,3,1346,0.016,0.962,Arlington
2718.02,1,458,0.011,0.974,Central Park Heights
2718.02,2,608,0.005,0.979,Central Park Heights
2718.02,3,717,0.022,0.944,Central Park Heights
2718.02,4,1210,0.012,0.969,Langston Hughes
2719,1,746,0.547,0.397,Mount Washington
2719,2,672,0.113,0.847,Glen
2719,3,829,0.188,0.776,Glen
2719,4,733,0.168,0.804,Glen
2719,5,793,0.049,0.924,Glen
2720.03,1,810,0.835,0.116,Cheswolde
2720.03,2,831,0.645,0.236,Cheswolde
2720.03,3,1494,0.414,0.55,Glen
2720.03,4,1818,0.767,0.202,Cross Country
2720.03,5,864,0.823,0.144,Cheswolde
2720.04,1,1667,0.773,0.124,Cheswolde
2720.04,2,2121,0.778,0.162,Cheswolde
2720.05,1,1121,0.825,0.148,Cross Country
2720.05,2,930,0.919,0.069,Cross Country
2720.05,3,1378,0.66,0.213,Cross Country
2720.06,1,2229,0.424,0.55,Glen
2720.06,2,1319,0.625,0.355,Glen
2720.07,1,2390,0.365,0.43,Fallstaff
2720.07,2,1144,0.39,0.478,Fallstaff
2720.07,3,833,0.381,0.547,Fallstaff
2801.01,1,873,0.07,0.865,Reisterstown Station
2801.01,2,1295,0.067,0.869,Reisterstown Station
2801.01,3,1058,0.021,0.96,Woodmere
2801.02,1,400,0.05,0.923,Grove Park
2801.02,2,1026,0.022,0.955,Howard Park
2801.02,3,988,0.022,0.952,Howard Park
2801.02,4,1541,0.018,0.96,Howard Park
2801.02,5,1322,0.008,0.958,Grove Park
2801.02,6,768,0.001,0.975,West Arlington
2802,1,1170,0.037,0.946,Howard Park
2802,2,592,0.025,0.966,Howard Park
2802,3,620,0.027,0.945,Howard Park
2802,4,813,0.038,0.93,Howard Park
2802,5,859,0.044,0.929,Howard Park
2802,6,774,0.03,0.922,Howard Park
2803.01,1,1042,0.07,0.912,Franklintown
2803.01,2,1136,0.07,0.911,Dickeyville
2803.01,3,1923,0.107,0.86,Wakefield
2803.02,1,1328,0.014,0.968,West Forest Park
2803.02,2,954,0.077,0.895,Windsor Hills
2804.01,1,753,0.153,0.806,Hunting Ridge
2804.01,2,599,0.341,0.639,Hunting Ridge
2804.01,3,711,0.122,0.85,Hunting Ridge
2804.01,4,922,0.056,0.912,West Hills
2804.01,5,580,0.074,0.917,West Hills
2804.02,1,473,0.03,0.934,Rognel Heights
2804.02,2,1101,0.005,0.979,Rognel Heights
2804.03,1,958,0.061,0.921,Tremont
2804.03,2,1006,0.191,0.767,Ten Hills
2804.03,3,1872,0.319,0.644,Westgate
2804.03,4,580,0.355,0.59,Westgate
2804.03,5,657,0.376,0.559,Ten Hills
2804.04,1,2257,0.049,0.93,Uplands
2804.04,2,10,0.3,0.7,Uplands
2805,1,882,0.052,0.825,Dunbar-Broadway
2805,2,1767,0.115,0.864,Penn-Fallsway
2805,3,507,0.037,0.899,Oldtown
2805,4,393,0.01,0.985,Pleasant View Gardens
