GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US245102503031,245102503031,"Block Group 1, Census Tract 2503.03, Baltimore city, Maryland",661,328,22,20,23,7,12,6,8,12,36,18,23,27,25,27,15,2,10,4,5,6,9,8,3,333,26,27,22,12,5,2,7,14,38,34,19,21,18,23,13,6,10,7,7,4,12,3,3
1500000US245102503032,245102503032,"Block Group 2, Census Tract 2503.03, Baltimore city, Maryland",1021,494,35,35,31,15,15,13,5,23,49,37,34,36,38,35,27,13,13,4,9,13,7,5,2,527,41,33,33,9,10,8,9,20,47,53,36,24,36,40,38,8,19,10,4,17,8,12,12
1500000US245102503033,245102503033,"Block Group 3, Census Tract 2503.03, Baltimore city, Maryland",642,318,18,22,15,12,15,0,7,10,19,11,14,25,29,32,26,11,15,5,7,10,11,3,1,324,16,14,19,3,7,3,2,12,31,11,13,22,32,36,21,10,13,10,11,14,6,10,8
1500000US245102504011,245102504011,"Block Group 1, Census Tract 2504.01, Baltimore city, Maryland",1637,862,60,58,60,33,18,14,15,31,73,82,66,63,85,67,50,13,15,7,10,15,4,13,10,775,72,51,36,22,21,12,10,38,74,73,51,52,60,58,43,14,20,5,14,19,8,11,11
1500000US245102504012,245102504012,"Block Group 2, Census Tract 2504.01, Baltimore city, Maryland",936,467,38,30,19,24,7,5,6,15,31,31,36,40,52,41,27,9,6,8,8,17,9,4,4,469,41,19,36,15,6,9,7,23,35,34,31,35,43,36,18,7,14,11,13,15,7,8,6
1500000US245102504013,245102504013,"Block Group 3, Census Tract 2504.01, Baltimore city, Maryland",1250,655,75,56,37,23,19,9,9,37,66,53,52,43,40,43,30,15,13,10,7,10,6,1,1,595,63,49,31,22,17,7,7,35,74,42,40,35,41,33,31,11,19,6,10,6,8,6,2
1500000US245102504021,245102504021,"Block Group 1, Census Tract 2504.02, Baltimore city, Maryland",1390,655,64,65,52,29,20,17,17,42,51,48,35,34,33,44,40,17,16,9,8,4,4,3,3,735,73,55,42,33,21,15,11,46,64,64,36,51,60,55,37,15,15,7,10,7,8,2,8
1500000US245102504022,245102504022,"Block Group 2, Census Tract 2504.02, Baltimore city, Maryland",995,392,72,92,59,17,12,7,3,19,20,21,17,10,16,17,3,1,1,0,3,1,0,1,0,603,79,76,68,26,6,9,11,31,92,55,22,31,30,33,12,1,9,2,2,3,0,4,1
1500000US245102504023,245102504023,"Block Group 3, Census Tract 2504.02, Baltimore city, Maryland",1404,708,97,43,34,28,18,15,16,43,72,55,30,44,43,51,46,8,21,4,11,4,9,11,5,696,83,46,39,19,26,7,10,47,81,55,38,36,45,49,36,7,18,10,2,14,10,9,9
1500000US245102504024,245102504024,"Block Group 4, Census Tract 2504.02, Baltimore city, Maryland",1141,571,46,61,42,40,19,10,12,24,44,39,38,41,43,39,22,6,11,7,7,3,6,6,5,570,56,43,42,15,10,12,10,34,58,48,28,40,30,44,24,15,15,10,8,8,3,5,12
1500000US245102505001,245102505001,"Block Group 1, Census Tract 2505, Baltimore city, Maryland",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US245102505002,245102505002,"Block Group 2, Census Tract 2505, Baltimore city, Maryland",122,54,4,5,4,0,0,1,0,3,7,4,2,3,3,4,0,3,4,0,3,0,2,1,1,68,5,5,2,3,2,0,1,3,8,2,5,7,3,4,9,3,1,0,2,0,0,0,3
1500000US245102505003,245102505003,"Block Group 3, Census Tract 2505, Baltimore city, Maryland",2156,1068,120,86,70,35,23,18,15,45,91,77,63,76,98,74,62,18,17,16,18,20,16,8,2,1088,103,69,67,28,34,17,16,53,107,86,77,78,90,65,49,22,27,14,22,22,20,8,14
1500000US245102505004,245102505004,"Block Group 4, Census Tract 2505, Baltimore city, Maryland",1301,635,55,36,28,18,16,7,11,25,64,43,49,48,63,50,43,7,16,13,10,15,5,7,6,666,62,45,25,25,18,13,16,36,66,46,39,37,69,49,30,11,19,8,9,13,11,7,12
1500000US245102505005,245102505005,"Block Group 5, Census Tract 2505, Baltimore city, Maryland",1887,903,91,87,65,29,31,13,19,40,76,71,48,58,70,67,42,20,23,7,14,12,9,8,3,984,97,81,55,30,24,13,20,65,116,76,56,66,68,72,49,12,19,6,11,15,16,11,6
1500000US245102506001,245102506001,"Block Group 1, Census Tract 2506, Baltimore city, Maryland",22,10,0,1,1,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,2,1,0,0,1,0,0,1
1500000US245102601011,245102601011,"Block Group 1, Census Tract 2601.01, Baltimore city, Maryland",837,403,22,21,17,13,12,6,0,13,31,28,28,33,35,42,37,12,15,10,13,5,5,3,2,434,22,28,33,15,9,7,2,8,24,30,41,31,32,36,33,10,21,7,10,11,7,7,10
1500000US245102601012,245102601012,"Block Group 2, Census Tract 2601.01, Baltimore city, Maryland",835,382,32,16,25,22,12,8,3,16,32,29,31,20,27,33,27,9,13,7,4,5,5,5,1,453,26,33,25,22,9,7,8,18,22,29,33,34,33,40,35,6,21,6,10,7,10,9,10
1500000US245102601013,245102601013,"Block Group 3, Census Tract 2601.01, Baltimore city, Maryland",1302,559,56,55,24,24,10,5,11,31,42,50,34,39,41,46,24,12,15,2,5,16,8,3,6,743,57,47,36,23,22,7,11,51,66,61,49,62,55,57,38,21,18,8,17,13,11,8,5
1500000US245102601014,245102601014,"Block Group 4, Census Tract 2601.01, Baltimore city, Maryland",740,355,30,21,31,19,9,3,5,9,33,21,25,21,17,26,25,9,13,5,7,9,3,4,10,385,16,25,28,17,13,3,3,14,31,24,25,29,29,24,30,11,13,3,7,11,6,14,9
1500000US245102601015,245102601015,"Block Group 5, Census Tract 2601.01, Baltimore city, Maryland",1049,501,39,36,37,23,11,7,5,12,29,42,39,41,51,27,31,11,16,3,9,11,9,8,4,548,41,33,20,31,13,2,4,20,39,47,40,42,31,52,28,13,14,17,13,6,10,10,22
1500000US245102601021,245102601021,"Block Group 1, Census Tract 2601.02, Baltimore city, Maryland",1123,489,25,32,37,30,14,8,8,18,34,29,27,36,33,43,31,17,17,8,12,14,5,6,5,634,27,22,41,28,19,15,7,18,39,46,35,34,46,63,68,23,27,13,15,21,13,9,5
1500000US245102601022,245102601022,"Block Group 2, Census Tract 2601.02, Baltimore city, Maryland",840,384,35,36,36,18,11,10,8,15,22,10,17,24,26,40,23,10,9,3,11,5,12,2,1,456,29,27,29,20,13,5,10,19,32,23,30,38,32,33,35,16,16,8,7,20,6,3,5
1500000US245102601023,245102601023,"Block Group 3, Census Tract 2601.02, Baltimore city, Maryland",649,303,16,22,25,19,12,10,7,13,21,14,12,16,29,25,24,4,6,2,9,8,2,3,4,346,25,14,22,11,11,10,7,14,21,10,23,24,33,38,22,6,14,7,7,4,7,8,8
1500000US245102601024,245102601024,"Block Group 4, Census Tract 2601.02, Baltimore city, Maryland",922,427,32,23,30,14,7,10,11,22,18,28,32,23,32,29,39,12,12,7,13,14,11,6,2,495,25,32,30,27,14,4,4,17,17,26,25,43,48,50,44,17,15,9,11,8,16,10,3
1500000US245102601025,245102601025,"Block Group 5, Census Tract 2601.02, Baltimore city, Maryland",1377,617,46,32,48,32,24,11,14,28,41,25,41,38,49,70,39,15,18,7,11,7,10,6,5,760,51,41,60,27,21,14,7,36,42,53,46,63,74,74,53,15,23,6,12,13,15,6,8
1500000US245102602011,245102602011,"Block Group 1, Census Tract 2602.01, Baltimore city, Maryland",1042,485,34,43,29,34,20,4,5,23,23,28,37,45,46,31,32,5,8,5,3,12,5,7,6,557,43,37,35,23,17,8,5,20,41,45,36,61,53,35,31,13,12,6,8,12,5,4,7
1500000US245102602012,245102602012,"Block Group 2, Census Tract 2602.01, Baltimore city, Maryland",981,479,36,26,33,28,20,6,10,26,22,30,39,41,27,50,25,15,10,5,8,10,2,6,4,502,25,27,29,22,17,13,8,23,33,35,31,39,41,41,37,9,20,5,10,8,7,10,12
1500000US245102602013,245102602013,"Block Group 3, Census Tract 2602.01, Baltimore city, Maryland",824,376,25,25,24,20,19,7,7,20,35,24,18,28,28,36,20,7,13,6,2,4,5,2,1,448,26,47,36,17,9,6,6,17,31,34,26,33,39,34,26,10,13,8,7,6,7,4,6
1500000US245102602014,245102602014,"Block Group 4, Census Tract 2602.01, Baltimore city, Maryland",2269,1053,91,57,43,31,22,17,23,70,109,81,61,76,69,85,75,27,26,14,24,22,7,11,12,1216,120,54,49,27,34,21,47,108,149,97,63,63,78,96,81,20,24,5,6,12,20,15,27
1500000US245102602021,245102602021,"Block Group 1, Census Tract 2602.02, Baltimore city, Maryland",652,294,16,24,33,24,15,3,8,12,25,18,10,17,16,22,21,7,8,1,7,3,2,2,0,358,23,26,34,18,10,4,3,9,26,30,23,29,33,27,27,7,10,2,4,6,0,3,4
1500000US245102602022,245102602022,"Block Group 2, Census Tract 2602.02, Baltimore city, Maryland",2308,1077,102,76,53,35,34,25,26,92,136,78,57,76,69,68,67,7,26,6,11,16,9,3,5,1231,95,78,53,27,35,27,37,106,158,98,60,75,87,100,52,16,29,14,16,27,23,9,9
1500000US245102602023,245102602023,"Block Group 3, Census Tract 2602.02, Baltimore city, Maryland",1733,790,53,60,64,39,35,23,20,33,43,55,50,44,57,58,58,13,26,7,11,17,10,10,4,943,46,43,67,41,30,10,11,29,59,67,68,65,86,91,97,31,24,7,27,18,15,6,5
1500000US245102602024,245102602024,"Block Group 4, Census Tract 2602.02, Baltimore city, Maryland",1244,545,41,39,38,28,20,9,7,26,29,35,29,35,47,53,37,16,23,3,5,11,8,5,1,699,35,49,41,27,27,11,8,31,54,39,43,53,52,69,48,25,32,9,15,10,9,5,7
1500000US245102602031,245102602031,"Block Group 1, Census Tract 2602.03, Baltimore city, Maryland",1870,833,105,98,81,44,28,16,18,40,52,46,41,45,37,37,51,11,25,7,13,18,8,2,10,1037,92,78,55,57,41,20,23,59,101,67,59,64,60,64,57,22,31,13,20,25,16,11,2
1500000US245102602032,245102602032,"Block Group 2, Census Tract 2602.03, Baltimore city, Maryland",960,436,17,37,27,25,19,10,5,15,25,28,25,27,36,31,33,7,21,8,15,10,10,4,1,524,34,21,35,21,14,4,8,24,28,26,32,37,41,51,49,14,20,8,14,19,14,8,2
1500000US245102603011,245102603011,"Block Group 1, Census Tract 2603.01, Baltimore city, Maryland",843,377,23,25,36,20,23,4,6,19,20,22,23,26,36,28,27,8,10,4,2,6,3,3,3,466,26,29,35,21,12,5,5,15,37,35,28,47,39,45,30,8,11,7,4,11,3,5,8
1500000US245102603012,245102603012,"Block Group 2, Census Tract 2603.01, Baltimore city, Maryland",1043,468,34,39,45,34,15,9,7,18,30,26,26,29,33,37,33,10,10,4,5,7,6,7,4,575,31,47,43,23,19,11,11,20,33,41,29,41,43,53,42,16,20,8,16,12,8,4,4
1500000US245102603013,245102603013,"Block Group 3, Census Tract 2603.01, Baltimore city, Maryland",824,382,41,39,32,17,12,2,7,12,28,27,25,31,28,27,19,7,9,7,2,3,6,1,0,442,39,32,31,24,18,6,7,15,32,26,33,42,32,38,23,9,10,5,6,6,6,2,0
1500000US245102603014,245102603014,"Block Group 4, Census Tract 2603.01, Baltimore city, Maryland",773,331,27,23,22,24,15,4,7,19,22,21,17,22,33,27,18,7,3,4,1,10,1,3,1,442,38,26,26,21,18,10,7,20,31,28,27,29,45,40,29,9,15,6,5,8,2,2,0
1500000US245102603015,245102603015,"Block Group 5, Census Tract 2603.01, Baltimore city, Maryland",1450,663,56,64,65,37,33,12,9,39,35,47,33,24,36,58,38,10,20,4,17,15,5,6,0,787,55,52,59,48,16,11,7,29,63,65,49,57,71,69,50,22,13,8,8,13,9,9,4
1500000US245102603021,245102603021,"Block Group 1, Census Tract 2603.02, Baltimore city, Maryland",649,263,17,18,20,11,8,6,8,7,16,14,14,17,22,20,19,10,10,3,8,7,1,6,1,386,21,20,18,11,12,7,8,16,19,27,30,28,34,36,30,17,11,3,8,9,9,5,7
1500000US245102603022,245102603022,"Block Group 2, Census Tract 2603.02, Baltimore city, Maryland",910,397,33,21,26,26,13,6,5,14,17,26,31,16,37,40,26,10,12,3,11,11,6,4,3,513,22,28,30,22,18,4,7,7,42,44,31,35,48,53,51,10,15,3,14,11,8,7,3
1500000US245102603023,245102603023,"Block Group 3, Census Tract 2603.02, Baltimore city, Maryland",791,368,19,31,23,18,23,9,8,16,28,18,21,22,27,27,27,11,9,5,6,10,4,3,3,423,25,17,28,22,16,2,10,10,28,32,32,26,36,34,42,14,7,6,9,8,5,4,10
1500000US245102603024,245102603024,"Block Group 4, Census Tract 2603.02, Baltimore city, Maryland",1958,855,65,60,79,52,46,14,9,36,45,48,42,59,78,68,55,18,16,11,12,16,13,11,2,1103,61,53,97,41,32,20,10,46,67,81,83,86,113,94,74,23,35,13,17,23,13,13,8
1500000US245102603025,245102603025,"Block Group 5, Census Tract 2603.02, Baltimore city, Maryland",728,321,23,21,31,17,6,9,5,23,12,19,20,24,24,28,21,6,8,2,8,7,5,0,2,407,27,21,23,14,13,5,4,17,33,31,17,32,43,36,31,6,13,9,8,10,2,7,5
1500000US245102603026,245102603026,"Block Group 6, Census Tract 2603.02, Baltimore city, Maryland",1058,502,37,37,37,29,17,8,11,24,44,29,30,35,27,41,34,12,15,7,6,13,5,4,0,556,31,29,34,30,13,6,8,21,34,47,30,38,41,54,58,17,12,5,12,14,12,6,4
1500000US245102603031,245102603031,"Block Group 1, Census Tract 2603.03, Baltimore city, Maryland",778,320,49,23,42,20,3,8,7,11,28,14,8,20,19,19,14,8,4,6,6,6,2,1,2,458,39,33,38,16,14,8,11,16,39,34,23,31,31,33,22,6,13,6,8,13,15,5,4
1500000US245102604011,245102604011,"Block Group 1, Census Tract 2604.01, Baltimore city, Maryland",1044,499,41,37,27,24,15,9,6,10,47,46,41,35,30,33,30,10,17,8,8,11,7,4,3,545,41,44,36,20,8,5,9,18,42,45,36,33,35,33,37,13,13,8,14,20,11,11,13
1500000US245102604012,245102604012,"Block Group 2, Census Tract 2604.01, Baltimore city, Maryland",1641,756,64,56,40,29,18,10,8,28,49,38,44,58,64,61,49,15,24,10,18,33,15,14,11,885,59,63,43,23,23,6,10,31,65,45,51,62,71,62,50,21,36,23,26,42,29,20,24
1500000US245102604013,245102604013,"Block Group 3, Census Tract 2604.01, Baltimore city, Maryland",545,263,19,20,12,15,7,4,1,7,22,19,16,17,25,20,16,3,11,3,6,9,8,1,2,282,22,18,20,9,8,3,2,9,23,24,12,15,18,25,24,10,7,4,5,7,7,6,4
1500000US245102604021,245102604021,"Block Group 1, Census Tract 2604.02, Baltimore city, Maryland",1496,666,42,60,57,40,25,15,5,36,65,47,43,44,44,29,44,15,21,7,7,9,6,3,2,830,57,51,65,32,21,15,15,48,84,60,52,61,58,47,57,24,18,11,14,18,16,2,4
1500000US245102604022,245102604022,"Block Group 2, Census Tract 2604.02, Baltimore city, Maryland",1152,511,53,53,45,25,21,7,11,32,47,44,27,29,25,31,25,6,6,2,7,4,7,4,0,641,57,58,36,20,12,13,8,43,76,44,54,35,33,44,44,11,15,5,9,13,3,2,6
1500000US245102604031,245102604031,"Block Group 1, Census Tract 2604.03, Baltimore city, Maryland",1536,681,65,57,53,28,18,11,6,38,71,44,47,49,36,44,36,17,17,10,10,11,8,5,0,855,70,44,58,32,27,19,17,55,94,61,56,43,65,56,59,23,21,9,8,21,5,7,5
1500000US245102604032,245102604032,"Block Group 2, Census Tract 2604.03, Baltimore city, Maryland",39,21,3,0,1,1,1,0,0,2,3,2,1,2,0,0,2,0,2,0,0,0,0,0,1,18,2,0,1,0,1,0,2,1,2,0,0,0,3,1,3,0,0,1,0,0,0,0,1
1500000US245102604041,245102604041,"Block Group 1, Census Tract 2604.04, Baltimore city, Maryland",14,7,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,7,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1500000US245102604042,245102604042,"Block Group 2, Census Tract 2604.04, Baltimore city, Maryland",580,315,22,16,16,12,11,4,7,20,40,27,28,22,20,22,15,6,5,5,7,5,5,0,0,265,19,16,21,10,7,4,5,15,24,18,20,18,21,19,15,6,9,7,1,6,2,2,0
1500000US245102604043,245102604043,"Block Group 3, Census Tract 2604.04, Baltimore city, Maryland",1402,767,71,50,39,27,22,12,16,61,96,83,70,65,40,36,27,11,12,7,8,5,8,1,0,635,54,33,49,28,12,13,13,37,62,64,50,46,38,35,38,12,8,4,10,14,7,3,5
1500000US245102605011,245102605011,"Block Group 1, Census Tract 2605.01, Baltimore city, Maryland",2367,1198,94,49,49,47,31,17,18,55,136,122,103,64,87,80,61,23,29,22,22,35,17,16,21,1169,97,51,41,29,11,15,11,65,132,106,65,64,63,83,55,31,30,24,22,26,41,38,69
1500000US245102605012,245102605012,"Block Group 2, Census Tract 2605.01, Baltimore city, Maryland",1494,764,53,46,45,22,19,12,12,30,80,77,57,43,50,50,42,12,16,14,13,16,27,14,14,730,60,47,31,17,15,8,5,28,73,74,44,36,47,44,40,15,19,13,14,23,35,16,26
1500000US245102605013,245102605013,"Block Group 3, Census Tract 2605.01, Baltimore city, Maryland",1014,491,27,29,21,17,12,8,8,22,46,38,31,38,41,40,24,18,14,9,4,14,12,8,10,523,42,19,24,14,15,4,7,34,44,33,29,29,35,39,39,10,9,11,10,21,15,23,17
1500000US245102606041,245102606041,"Block Group 1, Census Tract 2606.04, Baltimore city, Maryland",597,240,39,33,34,17,6,3,1,11,13,14,10,8,15,6,9,2,4,0,6,5,0,2,2,357,48,27,28,15,16,6,5,19,25,33,23,20,27,18,15,7,6,2,2,3,6,1,5
1500000US245102606042,245102606042,"Block Group 2, Census Tract 2606.04, Baltimore city, Maryland",417,217,21,13,17,4,7,2,5,11,23,22,16,8,18,19,12,4,5,2,1,1,2,2,2,200,13,20,9,2,3,1,2,9,22,15,9,21,14,20,11,3,4,2,7,2,4,4,3
1500000US245102606043,245102606043,"Block Group 3, Census Tract 2606.04, Baltimore city, Maryland",451,181,27,27,18,16,10,3,5,6,9,8,7,10,8,10,5,2,3,2,1,0,2,1,1,270,24,32,18,9,9,0,3,16,34,25,12,15,25,16,5,0,4,2,5,2,7,6,1
1500000US245102606051,245102606051,"Block Group 1, Census Tract 2606.05, Baltimore city, Maryland",1197,587,34,21,31,19,17,8,14,28,50,43,30,33,41,41,43,17,24,10,15,30,12,15,11,610,37,39,17,16,15,5,7,24,51,35,25,29,38,46,45,19,22,10,13,25,30,30,32
1500000US245102606052,245102606052,"Block Group 2, Census Tract 2606.05, Baltimore city, Maryland",1726,847,63,45,45,34,24,9,5,36,66,68,57,64,63,65,64,21,26,11,21,19,13,17,11,879,67,56,29,40,24,14,9,46,70,60,51,53,48,79,49,21,28,22,16,23,23,32,19
1500000US245102606053,245102606053,"Block Group 3, Census Tract 2606.05, Baltimore city, Maryland",1127,573,44,30,14,19,8,6,10,30,85,49,47,32,49,30,30,18,14,9,8,8,13,8,12,554,40,22,22,17,25,14,12,26,67,30,34,49,38,42,28,16,13,14,7,10,12,4,12
